18.82	, 68.35	, 1.53
-147.8	, 65.9	, 1.49
-147.8	, 65.9	, 1.47
100.25	, 64.32	, 1.05
-152.3	, 63.9	, 1.06
-152.3	, 63.9	, 1.53
16.5	, 60.82	, 1.54
24.07	, 54.75	, 1.2
121.5	, 50.93	, 1.67
-3.7	, 50.35	, 0.9
4.62	, 47.66	, 0.9
3.24	, 47.41	, 0.81
-83.73	, 46.7	, 0.79
2.57	, 46.59	, 1
81.27	, 46.45	, 0.73
11.83	, 46.35	, 1.24
4.96	, 46.24	, 0.69
3.82	, 46.09	, 1.04
-75.83	, 45.67	, 1.4
5.03	, 45.53	, 0.69
127.53	, 45.38	, 0.79
-78.17	, 45.33	, 0.81
6.61	, 44.84	, 0.86
1.08	, 44.76	, 0.78
123.75	, 44.75	, 1.05
87.93	, 44.28	, 0.82
10.4	, 44.23	, 1.13
116.48	, 44.17	, 1.02
2.37	, 44.16	, 0.85
-71.3	, 44.06	, 0.96
116.7	, 43.63	, 1.25
120.72	, 42.97	, 0.89
119.02	, 42.92	, 1.63
122.37	, 42.71	, 1.27
-72.18	, 42.53	, 1.29
116.68	, 42.45	, 0.65
8.86	, 42.14	, 0.87
124.91	, 41.85	, 1.14
124.91	, 41.85	, 1.11
2.4	, 41.8	, 0.91
111.9	, 41.79	, 1.03
111.88	, 41.77	, 1.02
1.02	, 41.67	, 0.97
-71.57	, 41.41	, 0.84
-5.7	, 41	, 0.95
40.99	, 41	, 0.98
-5.7	, 41	, 0.96
40.95	, 40.98	, 0.89
14.02	, 40.93	, 1.02
40.94	, 40.9	, 0.91
96.88	, 40.87	, 0.93
-6.72	, 40.32	, 0.97
-7.33	, 40.17	, 0.79
115.5	, 39.92	, 1.19
115.5	, 39.92	, 0.97
115.5	, 39.92	, 1.18
-82.6	, 39.6	, 0.92
-119.67	, 38.67	, 0.98
107.17	, 37.62	, 0.84
-122.98	, 36.65	, 0.85
81.11	, 36.13	, 1.04
109.17	, 36.08	, 1.25
40.71	, 36.05	, 0.8
106.48	, 36	, 1.05
-79.83	, 35.97	, 0.97
-79.83	, 35.97	, 0.89
104.15	, 35.95	, 0.89
119.63	, 35.54	, 0.96
-83	, 35	, 0.68
107.35	, 34.04	, 0.93
102	, 33.98	, 1.15
107.42	, 33.9	, 0.86
120.48	, 33.58	, 0.89
111.93	, 33.47	, 0.83
-106.75	, 32.62	, 0.68
-106.78	, 32.48	, 0.99
121.12	, 32.46	, 0.64
84.32	, 32.27	, 1.87
85.57	, 31.99	, 1.22
86.34	, 31.9	, 1
87.33	, 31.79	, 0.95
88.59	, 31.71	, 0.96
121.63	, 30.99	, 0.86
91.08	, 30.42	, 1.28
121.65	, 29.87	, 0.82
121.78	, 29.8	, 0.66
106.37	, 29.75	, 0.81
117.79	, 28.41	, 0.91
37	, 28	, 0.74
114.5	, 27.29	, 0.73
83.6	, 27.28	, 0.93
109.6	, 26.85	, 0.76
128.25	, 26.75	, 0.5
115.06	, 26.73	, 0.74
115.06	, 26.73	, 0.79
117.72	, 26.51	, 0.87
106.99	, 26.47	, 0.9
105.79	, 26.29	, 0.63
117.48	, 26.19	, 0.85
117.45	, 26.17	, 0.74
114.28	, 26.09	, 0.7
101.82	, 25.83	, 1.06
116.41	, 25.68	, 0.71
101.54	, 25.41	, 1.12
107.93	, 25.28	, 0.6
117.35	, 24.5	, 0.74
117.41	, 23.63	, 0.78
117.41	, 23.63	, 0.85
112.54	, 23.16	, 0.75
112.54	, 23.16	, 0.68
112.9	, 22.68	, 0.73
112.9	, 22.68	, 0.92
-159.53	, 22.1	, 1.01
100.42	, 21.45	, 0.78
-155.47	, 19.83	, 0.82
-101.34	, 19.62	, 0.97
-105.02	, 19.48	, 0.7
-155.29	, 19.38	, 0.54
-95.11	, 18.58	, 0.83
-99.02	, 18.47	, 0.65
-76.65	, 18.1	, 0.72
-1.4	, 10.43	, 0.97
-64.28	, 10.35	, 0.73
-79.84	, 9.11	, 0.77
-62.73	, 9	, 0.78
-67.37	, 8.85	, 0.66
-70.28	, 8.64	, 0.79
-66.14	, 7.59	, 0.91
80.65	, 7.15	, 0.74
80.82	, 6.92	, 0.58
116.55	, 6.08	, 0.74
9	, 5.18	, 0.7
-67.05	, 1.93	, 0.68
-61.33	, -3.33	, 0.75
-74.35	, -4.73	, 0.52
-56.07	, -15.73, 0.92
-47.87	, -15.92, 0.68
-47.9	, -15.93, 0.78
-54.41	, -16.5	, 0.8
-47.63	, -21.7	, 0.69
-58	, -27.5	, 0.81
31.95	, -28.22, 0.82
115.7	, -30.1	, 0.63
146.15	, -32.97, 0.66
151	, -33	, 0.91
151.29	, -33.58, 0.68
146	, -36	, 0.82
-71.75	, -36.75, 0.93
-71.42	, -37.38, 1.08
149.15	, -37.6	, 0.89
-73.22	, -37.7	, 1.04
176.9	, -38.6	, 0.86
-63.75	, -38.75, 0.79
-71.4	, -39.6	, 1
-72.02	, -40.05, 1.3
-71.6	, -40.1	, 1.28
-71.39	, -40.5	, 1.2
-71.23	, -40.5	, 0.99
-71.1	, -40.6	, 1.21
-71.55	, -40.8	, 1.15
-71.7	, -40.93, 1.47
-71.6	, -41.1	, 1.02
-72.57	, -41.15, 1.01
-72.47	, -41.87, 0.92
-73.93	, -42.12, 1.12
-74.09	, -42.62, 1.02
-65.38	, -42.65, 1
-70.33	, -45.42, 0.84
-72.73	, -45.45, 0.94
-71.42	, -45.58, 1.08
-72.83	, -51.37, 1.02
